index,Отзывы,Звузды,original
546,"все отлично как в описании, к гирлянде подошло",5,"Все отлично как в описании, к гирлянде подошло"
547,"все работает, включила сразу как пришла, советую",5,"Всё работает, включила сразу как пришла, советую)))"
548,"удлинитель хороший,работает, только в гирлянду туговато всунулся",5,"Удлинитель хороший,работает, только в гирлянду туговато всунулся"
549,"удлинитель работает, доставка быстрая",5,"Удлинитель работает, доставка быстрая"
550,соответствует описанию спасибо за быструю доставку,5,Соответствует описанию. Спасибо за быструю доставку.
551,отличный удлинитель рабочий быстрая вовремя доставка,5,Отличный удлинитель .рабочий .быстрая вовремя доставка
552,"рабочий,как раз то,что было нужно,закажу еще один",5,"Рабочий,как раз то,что было нужно,закажу ещё один"
553,"спасибо ,хороший товар,пришло быстро",5,"Спасибо ,хороший товар,пришло быстро"
554,"брала два удлинителя все хорошо упаковано, все целое, работает, довольна покупкой ",5,"Брала два удлинителя. Все хорошо упаковано, все целое, работает, довольна покупкой 🔥😊"
555,"отличный удлинитель, работает, все хорошо",5,"Отличный удлинитель, работает, все хорошо"
556,"очень плотное гнездо для вилки, не болтается, не выпадает",5,"Очень плотное гнездо для вилки, не болтается, не выпадает"
557,соответствует описанию длина ровно три метра вместе с вилкой,5,Соответствует описанию. Длина ровно три метра вместе с вилкой.
558,очень легкий удлинитель идеально подходит для оконных гирлянд,5,Очень лёгкий удлинитель. Идеально подходит для оконных гирлянд
559,пришел быстро описанию соответствует работаетвсе отлично,5,Пришел быстро. Описанию соответствует. Работаетвсе отлично.
560,брали для гирлянды упаковка  просто целлофан проверили  работает,5,Брали для гирлянды. Упаковка - просто целлофан. Проверили - работает
561,"доставили быстроцелый посмотрим,на какое время хватит его",5,"Доставили быстро.целый. посмотрим,на какое время хватит его😊"
562,все нормально,5,Всё нормально
563,"очень нужная вещь, в украшении гирляндами",5,"Очень нужная вещь, в украшении гирляндами"
564,"да тонкий, но со своей функцией справляется",5,"Да тонкий, но со своей функцией справляется"
565,"нормальный удлинитель, ничем не хуже чем те, что продают за 200, сборка одна и таже",5,"Нормальный удлинитель, ничем не хуже чем те, что продают за 200, сборка одна и таже"
566,все пришло вовремя удлинитель хороший,5,Всё пришло вовремя. Удлинитель хороший.
567,"удлинитель подошел идеально у этого же продавца заказывала гирлянду, все супер",5,"Удлинитель подошёл идеально. У этого же продавца заказывала гирлянду, все супер."
568,"за свои деньги , вообще отличный, все работает",5,"За свои деньги , вообще отличный, все работает"
569,удобный и отличный я уже 4 штуки заказывала,5,Удобный и отличный. Я уже 4 штуки заказывала.
570,отличный удлинитель будем встречать новый год,5,Отличный удлинитель будем встречать Новый год
571,отличный удлинитель и цена брала за 62 рубля,5,Отличный удлинитель и цена. Брала за 62 рубля
572,отличный удлинитель все работает  советую,5,Отличный удлинитель. Все работает 👍 Советую!
573,"вс подошло, работает за такую ценуподарок спасибо",5,"Всë подошло, работает. За такую цену-подарок!!!! Спасибо."
574,"отличный удлинитель работаеточень удобно, что прозрачныйне видно особо на стене",5,"Отличный удлинитель. Работает.
Очень удобно, что прозрачный.
Не видно особо на стене.."
575,"все отлично, рабочее состояние , цена отличная ",5,"Все отлично, рабочее состояние , цена отличная ."
576,все работает доставка быстрая дешево и отлично рекомендую,5,Все работает. Доставка быстрая. Дёшево и отлично. Рекомендую.
577,все работает,5,Все работает
578,"ненадежный товар чуть не случился пожар вовремя увидели изза этого удлинителя замыкает вилка гирлянды а когда гирлянду подключаешь напрямую в розетку, все нормально не советую покупать этот товар",1,"Ненадёжный товар! Чуть не случился пожар! Вовремя увидели! Из-за этого удлинителя замыкает вилка гирлянды! А когда гирлянду подключаешь напрямую в розетку, всё нормально. Не советую покупать этот товар."
579,все отлично к гирлянде подошел идеально,5,Всё отлично. К гирлянде подошёл идеально👍
580,"заказал 4 шт, пришли все рабочие в срок спасибо",5,"Заказал 4 шт, пришли все рабочие в срок. Спасибо!"
581,"рабочее состояние обычный, тоненький, все, как и ожидалось",5,"Рабочее состояние. Обычный, тоненький, всё, как и ожидалось."
582,все отлично товар соответствует описанию рекомендую,5,Всё отлично товар соответствует описанию рекомендую.
583,"все отлично работает , длинный провод",5,"все отлично работает , длинный провод"
584,"пришел быстро, все целое, рекомендую",5,"Пришёл быстро, все целое, рекомендую."
585,"очень удобно, купила для оконной гирлянды, тк у нее был шнур короткий",5,"Очень удобно, купила для оконной гирлянды, т.к у нее был шнур короткий"
586,"отличный удлинитель, 62 рубля цена была",5,"Отличный удлинитель, 62 рубля цена была"
587,"очень ждали,нужная вещь,по длине устраивает, все целое,работает",5,"Очень ждали,нужная вещь,по длине устраивает, всё целое,работает."
588,спасибо продавцу за быструю доставку,5,Спасибо продавцу за быструю доставку
589,"все работает, минусов не видим спасибо",5,"Все работает, минусов не видим. Спасибо."
590,заказала три удлинителя и все работаютза 62,5,"Заказала три удлинителя и все работают!
За 62₽"
591,"товар получила, работает, брала за 62руб, спасибо, я рекомендую",5,"Товар получила, работает, брала за 62руб, спасибо, я рекомендую"
592,"работает, все хорошо цена качество соответствует",5,"Работает, все хорошо. Цена качество соответствует"
593,"все как по описанию, купила уже 4шт",5,"Все как по описанию, купила уже 4шт👍👍👍"
594,"все как в описанииспасибо, удлинитель беру второй раз,все работает продавца рекомендую",5,"Все как в описании.Спасибо, удлинитель беру второй раз,все работает. Продавца рекомендую."
595,заказала сразу два удлинителя по 62 р работают хорошо рекомендую ,5,Заказала сразу два удлинителя по 62 р. Работают хорошо. Рекомендую 👍
596,все отлично быстрая доставка 5 баллов,5,Все отлично! Быстрая доставка 5 баллов
597,"обычный, хороший удлинительвсеиупаковано и работает",5,"Обычный, хороший удлинитель
Всеиупаковано и работает"
598,удлинитель рабочий доставка быстрая спасибо,5,Удлинитель рабочий. Доставка быстрая. Спасибо
599,"быстрая доставка, тонкий проводвсе работает, спасибо",5,"Быстрая доставка, тонкий провод.
Всё работает, спасибо"
600,"удлинитель не видимый на окне, но маловат, надо было заказать 5 метров",5,"Удлинитель не видимый на окне, но маловат, надо было заказать 5 метров"
601,отличный удлинитель лучшее что могли придумать для гирлянд спасибо рекомендую,5,Отличный удлинитель. Лучшее что могли придумать для гирлянд. Спасибо. Рекомендую.
602,пришло быстро работает рекомендую к покупке,5,Пришло быстро. Работает. Рекомендую к покупке.
603,работает повреждений нет товаром довольна спасибо продавцу,5,Работает. Повреждений нет. Товаром довольна. Спасибо продавцу!
604,"купила 3 штуки всего без этих удлинителей буквально никак в гирляндах очень короткие проводаособенно если висят на окнах  этот удлинитель необходим провод прозрачный, максимально не заметный рекомендую",5,"Купила 3 штуки всего. Без этих удлинителей буквально никак. В гирляндах очень короткие провода.особенно если висят на окнах - этот удлинитель необходим. Провод прозрачный, максимально не заметный. Рекомендую!)"
605,"удлинитель подошел к гирлянде идеально, спасибо",5,"Удлинитель подошёл к гирлянде идеально, спасибо."
606,не заменимая вещь для новогодних огоньков,5,Не заменимая вещь для новогодних огоньков
607,все работаетпришел переходник быстро,5,Все работает.Пришёл переходник быстро!
608,"удлинитель рабочий , пришел упакованный в целлофановый пакет  с товаром все в порядке ",5,"Удлинитель рабочий , пришёл упакованный в целлофановый пакет . С товаром всё в порядке ."
609,отличный удлинитель для гирлянд,5,Отличный удлинитель для гирлянд.
610,"на 3 звезды только тянет хлипкие провода, вилка слабо сидит в розетке и поэтому при повороте провода контакт прерывается покупала одновременно и 5 м, так у одного продавца вилка плотно вошла в розетку, а у другого тоже слабенько сидит в розетке так что китай китаю рознь",3,"На 3 звезды только тянет. Хлипкие провода, вилка слабо сидит в розетке и поэтому при повороте провода контакт прерывается. Покупала одновременно и 5 м, так у одного продавца вилка плотно вошла в розетку, а у другого тоже слабенько сидит в розетке. Так что Китай Китаю рознь."
611,"все пришло в хорошем состоянии,работаетзаказывала 2 штучки, спасибо",5,"Всё пришло в хорошем состоянии,работает.Заказывала 2 штучки, спасибо"
612,пришли в хорошем состоянии в работе еще не проверяла,5,Пришли в хорошем состоянии. В работе еще не проверяла!
613,"удлинитель был немного кривоват в месте где вставляется вилка, но работает это главное",5,"Удлинитель был немного кривоват в месте где вставляется вилка, но работает. Это главное."
614,"отлично,все хорошо работает, очень удобно",5,"Отлично,все хорошо работает, очень удобно)"
615,удлинитель рабочий пришел с задержкой присутствовал запах,5,Удлинитель рабочий. Пришел с задержкой. Присутствовал запах
616,"хороший удлинитель для гирлянды все работает, свою функцию выполняет",5,"Хороший удлинитель для гирлянды. Всё работает, свою функцию выполняет."
617,"удлинитель как удлинитель, все работает",5,"Удлинитель как удлинитель, все работает."
618,"удлинитель хороший, работает  брала сразу три штуки, все рабочие",5,"Удлинитель хороший, работает . Брала сразу три штуки, все рабочие."
619,"хорошие удлинители,все работает рекомендую",5,"Хорошие удлинители,все работает. Рекомендую))"
620,"заказывали сразу 3 удленителя, все прекрасно работает",5,"Заказывали сразу 3 удленителя, все прекрасно работает"
621,"пришло все в срок, качественно хорошее",5,"Пришло все в срок, качественно хорошее"
622,заказывала 2 шт оба работают спасибо,5,Заказывала 2 шт. Оба работают. Спасибо.
623,посылку получил работает спасибо продавцу,5,Посылку получил работает спасибо продавцу
624,внешне аккуратно сделанный удлинитель,5,Внешне аккуратно сделанный удлинитель.
625,доставление целые спасибо продавцу,5,Доставление целые!) спасибо продавцу!
626,"качество хорошее, теперь можно развешать герлянды",5,"Качество хорошее, теперь можно развешать герлянды"
627,"все работает,за такую цену очень хорошо спасибо",5,"Все работает,за такую цену очень хорошо. Спасибо"
628,"цена, качество доставка быстро нареканий нет товаром довольны",5,"Цена, качество. Доставка быстро. Нареканий нет. Товаром довольны."
629,пришли все 4 штуки в рабочем состоянии спасибо ,5,Пришли все 4 штуки в рабочем состоянии. Спасибо! 🌸
630,отличный удлинитель к купленной гирлянде спасибо,5,Отличный удлинитель к купленной гирлянде. Спасибо
631,удлинитель пришел в идеальном состоянии все целое и работает можно заказывать,5,Удлинитель пришел в идеальном состоянии. Всё целое и работает. Можно заказывать.
632,"товар хороший, как раз хватило до розетки ",5,"Товар хороший, как раз хватило до розетки 😄"
633,"удлинитель пришел в рабочем состоянии,спасибо",5,"Удлинитель пришёл в рабочем состоянии,спасибо"
634,все работает подходит идеально к гирлянде,5,Все работает. Подходит идеально к гирлянде
635,все хорошо,5,Все хорошо
636,хороший удленитель советую к покупке,5,Хороший удленитель. Советую к покупке.
637,"все хорошо, все работает исправно спасибо очень выручила",5,"Всё хорошо, всё работает исправно. Спасибо. Очень выручила."
638,"беру уже не первый раз эти удлинители 2,3,5 метров очень удобные, на каждой гирлянде стоит удлинитель взяла еще с запасом,хорошие цены спасибо продавцу",5,"Беру уже не первый раз эти удлинители 2,3,5 метров очень удобные, на каждой гирлянде стоит удлинитель. Взяла еще с запасом,хорошие цены! Спасибо продавцу!"
639,"подошел к гирлянде, работает 3 метра есть",5,"Подошёл к гирлянде, работает. 3 метра есть."
640,"хороший удлинитель, подходит под гирлянду",5,"Хороший удлинитель, подходит под гирлянду."
641,все работает спасибо,5,Всё работает спасибо!!
642,"отличный, 3 метра все соответствует советую",5,"Отличный, 3 метра всё соответствует. Советую"
643,работает отлично,5,Работает отлично
644,"выполняет свою функцию и это,для данного товара,главноеесть запашок,ну это не критично за 65 р",5,"Выполняет свою функцию и это,для данного товара,главное.есть запашок,ну это не критично за 65 р."
645,супер все  спасибо большое ,5,Супер все ! Спасибо большое 🤗
646,"заказала два удлинителя, так как покупала две гирлянды, все работает, без них было бы печально",5,"Заказала два удлинителя, так как покупала две гирлянды, всё работает, без них было бы печально."
647,"удлинитель хороший, подошел для гирлянды",5,"Удлинитель хороший, подошел для гирлянды"
648,"читала отзывы, брала со страхом, но очень довольна тем, что получила, рекомендую",5,"Читала отзывы, брала со страхом, но очень довольна тем, что получила, рекомендую."
649,"все хорошо, отличный товар, все работает, заказала два удлинителя,оба работают",5,"Всё хорошо, отличный товар, все работает, заказала два удлинителя,оба работают."
650,"удлинитель хороший, не понравилось лишь то, что заказывала 2 удлинителя одним заказом, а пришел пока только один когда дойдет второй  не понятно",5,"Удлинитель хороший, не понравилось лишь то, что заказывала 2 удлинителя одним заказом, а пришёл пока только один... Когда дойдёт второй - не понятно..."
651,дешево и сердито только для гирлянд электроколорифер пожалуйста не включайте,5,Дёшево и сердито. Только для гирлянд! Электроколорифер пожалуйста не включайте.
652,"мало того что где то застрял по пути ,доставку ждали долго с задержкой в пункте не проверишь никак это же надо подсоединить куда то дома проверили удлинитель замыкает",3,"Мало того что где то застрял по пути ,доставку ждали долго с задержкой .В пункте не проверишь никак это же надо подсоединить куда то .Дома проверили удлинитель замыкает"
653,"заказала три штуки, так как реально полезная вещь к новому году идеально подошли к купленным гирляндам рабочие все три штуки",5,"Заказала три штуки, так как реально полезная вещь к Новому году. Идеально подошли к купленным гирляндам. Рабочие все три штуки."
654,"отличный целый ,все устроила как и хотела ",5,"Отличный целый ,все устроила как и хотела ."
655,сгорел сразу при включении в разетку,1,Сгорел сразу при включении в разетку
656,все нормально описанию соответствуют заказала 3 штуки все в рабочем состоянии спасибо,5,Всё нормально. Описанию соответствуют. Заказала 3 штуки. Все в рабочем состоянии. Спасибо.
657,"все работает курьер молодец, знает свое дело",5,"Всё работает. Курьер молодец, знает свое дело."
658,"супер удлинитель, пришел быстро, все работает спасибо",5,"Супер удлинитель, пришёл быстро, всё работает. Спасибо."
659,работает соответствует описанию спасибо,5,Работает. Соответствует описанию. Спасибо.
660,"пришел хорошо упакован, без повреждений проверили работает спасибо",5,"Пришёл хорошо упакован, без повреждений. Проверили -работает) Спасибо!"
661,взяла 3 шт в дополнение к гирляндамвсе отлично работает,5,Взяла 3 шт в дополнение к гирляндам👍🏻Все отлично работает
662,спасибо пришел в срок аккуратно упакованработает,5,Спасибо пришёл в срок аккуратно упакован.работает.
663,"работает, что тут еще сказать и стоит копейки спасибо продавцу заказали два",5,"Работает, что тут ещё сказать. И стоит копейки. Спасибо продавцу! Заказали два"
664,хороший удлинитель все работает,5,Хороший удлинитель. Все работает
665,заказала 2 штуки все работает спасибо,5,Заказала 2 штуки. Все работает. Спасибо!
666,хороший удлинитель вилку от самой гирлянды держит довольно хорошо,5,Хороший удлинитель. Вилку от самой гирлянды держит довольно хорошо
667,"все работает , за такую сумму превосходно",5,"Все работает , за такую сумму превосходно"
668,"все работает, но так крепко гирлянду в него воткнуоа, что, похоже, это навсегда",5,"Все работает, но так крепко гирлянду в него воткнуоа, что, похоже, это навсегда"
669,"выглядит хлипко,брала две штучки,но все работает спасибо за товар",5,"Выглядит хлипко,брала две штучки,но все работает. Спасибо за товар"
670,увы удлинитель не 5 метров и даже не 3 метра всего 2метра,5,Увы удлинитель не 5 метров и даже не 3 метра. Всего 2метра
671,"все работает, дефектов не обнаружила советую",5,"Все работает, дефектов не обнаружила! Советую"
672,все как всегда хорошо  все работает,5,Все как всегда хорошо! 👌🏻 все работает
673,"беру второй раз использую по назначению и для зарядки телефона, чтоб рядом с кроватью лежал",5,"Беру второй раз. Использую по назначению и для зарядки телефона, чтоб рядом с кроватью лежал."
674,соответствует описанию работает нормально,5,Соответствует описанию. Работает нормально
675,"удлинитель подходит к гирляндам, что очень удобно",5,"Удлинитель подходит к гирляндам, что очень удобно"
676,"хорошая гирлянда, все работает, сразу заказывали удлинитель, немного воняет,но думаю пройдет",5,"Хорошая гирлянда, все работает, сразу заказывали удлинитель, немного воняет,но думаю пройдет"
677,"цена хорошая, быстрая доставка и выполнен качественно, очень его не хватало для гирлянды",5,"Цена хорошая, быстрая доставка и выполнен качественно, очень его не хватало для гирлянды"
678,"хороший удлинитель, цена замечательная",5,"хороший удлинитель, цена замечательная"
679,"крайне необходимая вещь, тк на гирляндах шнур минимальной длины",5,"Крайне необходимая вещь, тк на гирляндах шнур минимальной длины."
680,"удлинитель понравился, хорошо работает рекомендую к покупке",5,"Удлинитель понравился, хорошо работает! Рекомендую к покупке"
681,очень тонкий провод хорошо под карниз прятать,5,Очень тонкий провод хорошо под карниз прятать
682,"рабочий, длинный",5,"Рабочий, длинный."
683,"пришел удлинитель бракованный, вилка не влазит до конца изза смещения металлического отверстия",2,"Пришёл удлинитель бракованный, вилка не влазит до конца из-за смещения металлического отверстия."
684,пришел быстро и вовремя очень удобная штука я довольна,5,Пришёл быстро и вовремя. Очень удобная штука. Я довольна.
685,"классный удлинитель, брали 7 шт, ни одного бракованного",5,"Классный удлинитель, брали 7 шт, ни одного бракованного"
686,"отличный незаметный провод, советую 3м хватило сполна",5,"Отличный незаметный провод, советую👍🏼 3м хватило сполна"
687,"все отлично, все сошлось, все работает",5,"Все отлично, все сошлось, все работает:)"
688,"нормальный удлинитель за свои деньги тонкий, прозрачный все работает",5,"Нормальный удлинитель за свои деньги. Тонкий, прозрачный. Все работает."
689,"все как заявлено, целое, еще не проверяла в работе",5,"Все как заявлено, целое, еще не проверяла в работе"
690,хороший удлинитель для гирлянды до розетки хватило дотянуть  работает отлично,5,Хороший удлинитель для гирлянды. До розетки хватило дотянуть )) работает отлично.
691,"провод качественный, длина соответствует",5,"Провод качественный, длина соответствует"
692,взяла 3 шт один не смогла включить ни в одну розетку вилка до конца не входит возврат 1 шт,4,взяла 3 шт) один не смогла включить ни в одну розетку) вилка до конца не входит. возврат 1 шт)
693,"все отлично ничем не отличается от тех, что дороже",5,"Все отлично. Ничем не отличается от тех, что дороже."
694,"доставка быстрая, все работает рекомендую",5,"Доставка быстрая, все работает. Рекомендую!"
695,"все пришло в целости и сохранности, работает, спасибо",5,"Всё пришло в целости и сохранности, работает, спасибо."
696,удлинитель целый и работает рекомендую,5,Удлинитель целый и работает рекомендую
697,"работает покупала за 62, просто супер",5,"Работает) покупала за 62₽, просто супер!"
698,"решена проблема с гирляндой, а то приходилось таскать по квартире шаровые удлинители",5,"Решена проблема с гирляндой, а то приходилось таскать по квартире шаровые удлинители."
699,"удлинитель 5 метров,хорошего качества спасибо продавцу ",5,"Удлинитель 5 метров,хорошего качества! Спасибо продавцу ❤️"
700,"товар пришел быстро и без видимых повреждений на деле еще не опробовала, надеюсь все будет хорошо",5,"Товар пришел быстро и без видимых повреждений. На деле еще не опробовала, надеюсь все будет хорошо."
701,самре то для оконной гирлянды занавес сидит туго не отпадет,5,Самре то для оконной гирлянды занавес. Сидит туго. Не отпадет.
702,"работает, гирлянду незаметно подключили к сети при помощи этого удлинителя",5,"Работает, гирлянду незаметно подключили к сети при помощи этого удлинителя"
703,"удлинитель хороший,все работаетдоставка быстрая спасибо",5,"Удлинитель хороший,все работает.доставка быстрая .Спасибо."
704,"удлинитель к гирлянде и не только, удобно спасибо",5,"Удлинитель к гирлянде и не только, удобно. Спасибо!"
705,хороший удлинитель беру уже не первый раз,5,Хороший удлинитель беру уже не первый раз
706,состояние рабочее очень удобно спасибо,5,Состояние рабочее! Очень удобно! Спасибо!
707,"удлинитель не плохой,только розетка входит не до канца",5,"Удлинитель не плохой,только розетка входит не до канца."
708,"все отлично работает, удобный удлинитель",5,"Всё отлично работает, удобный удлинитель!"
709,все целое упаковано хорошо цена супер 62р,5,Всё целое. Упаковано хорошо. Цена супер. 62р
710,удлинитель не работает  с трудом удалось потом вытащить его из розетки очень жаль,1,Удлинитель не работает :( с трудом удалось потом вытащить его из розетки. Очень жаль((
711,все работает за свои деньги хорошая вещь,5,Всё работает. За свои деньги хорошая вещь
712,"актуально,соответствует заявленному",5,"Актуально,соответствует заявленному"
713,пришло все целое большое спасибо удлинитель пришел в рабочем состоянии,5,Пришло все целое. Большое спасибо. Удлинитель пришёл в рабочем состоянии.
714,все супер правда хлибковат а так сойдет,5,Всё супер правда хлибковат а так сойдет
715,все работает спасибо упаковано хорошо,5,Все работает! Спасибо! Упаковано хорошо!
716,"проверила,все прекрасно работает,только вот материал на ощуп странный",5,"проверила,все прекрасно работает,только вот материал на ощуп странный"
717,"все хорошо спасибо, работает",5,"Всё хорошо спасибо, работает)"
718,"все ок, пришло быстро рабочее спасибо",5,"Все ок, пришло быстро. рабочее. Спасибо"
719,все работает,5,Все работает
720,"все работает, пришел быстро, без повреждений",5,"Все работает, пришел быстро, без повреждений"
721,"удлинитель хороший, пришел в целости, работает исправно",5,"Удлинитель хороший, пришёл в целости, работает исправно."
722,"работает очень выручил купили гирлянду, а шнур всего 20 см, удлинитель спасает",5,"Работает! Очень выручил. Купили гирлянду, а шнур всего 20 см, удлинитель спасает."
723,"все работает, доставка супер быстрая",5,"Все работает, доставка супер быстрая."
724,"отличный , 3 м  очень выручает да и цена 62 р",5,"Отличный , 3 м . Очень выручает да и цена 62 р"
725,отличные за 60 рублей,5,Отличные за 60 рублей.
726,"рабочая, все цело, посмотрим как будет работать",5,"Рабочая, все цело, посмотрим как будет работать"
727,"пришел хорошо упакован, работает без нареканий",5,"Пришел хорошо упакован, работает без нареканий👍"
728,очень красивая гирлянда спасибо продавцу,5,Очень красивая гирлянда. Спасибо продавцу.
729,"отлично, работает, да еще за такую цену",5,"Отлично, работает, да ещё за такую цену"
730,"спасибо за качественную и быструю доставкуполезная вешь, работает хоиошорекомендую",5,"Спасибо за качественную и быструю доставку.
Полезная вешь, работает хоиошо.
Рекомендую"
731,довольна покупкой и ценой,5,довольна покупкой и ценой
732,"отличный удлинитель, пожалела, что сразу 2 не заказала",5,"Отличный удлинитель, пожалела, что сразу 2 не заказала"
733,"работает, все хорошо",5,"Работает, всё хорошо."
734,"заказали со скидкой за 62 рубля доставка своевременна, описанию соответствует, разъем подходит не ко всем видам вилок, только к подобным удлинителю удлинитель рабочий к покупке рекомендую спасибо",5,"Заказали со скидкой за 62 рубля. Доставка своевременна, описанию соответствует, разъём подходит не ко всем видам вилок, только к подобным удлинителю. Удлинитель рабочий. К покупке рекомендую. Спасибо!"
735,все нормгирлянда работаетвсем хорошего настроения,5,Все норм.гирлянда работает.всем хорошего настроения
736,"все работает, соответстветсвует описанию",5,"Все работает, соответстветсвует описанию."
737,"жидковаты провода, будем надеяться что не подведут а так все норм",5,"Жидковаты провода, будем надеяться что не подведут. А так всё норм👍"
738,все работает,5,Всё работает
739,"все супер  целое , работает  и стоит копейки  рекомендую",5,"Все супер ! Целое , работает ! И стоит копейки ! Рекомендую"
740,"прекрасные удлинители , работают рекомендую к покупке, пришли быстро",5,"Прекрасные удлинители , работают. Рекомендую к покупке, пришли быстро!👍"
741,"все хорошо, удлинитель рабочий, советую",5,"Все хорошо, удлинитель рабочий, советую!"
742,отличные удлинители мало заметны на стене,5,Отличные удлинители. Мало заметны на стене.
743,"быстро пришло, все хорошо товар рекомендую",5,"Быстро пришло, все хорошо. Товар рекомендую"
744,"мне понравились эти удлинители заказывала по 62 руб 2 шт,пришли хорошо упакованы в пакет ,сразу подключила один к елке другой к гирлянде ",5,"Мне понравились эти удлинители заказывала по 62 руб 2 шт,пришли хорошо упакованы в пакет ,сразу подключила один к ёлке другой к гирлянде 👍"
745,удленитель за 62 р вообще супер  все работает,5,Удленитель за 62 р вообще супер ) все работает
746,удлинитель пришел целый работает все ок спасибо,5,Удлинитель пришел целый! Работает. Все ок. Спасибо
747,"нормальный удлинитель, все работает,доставка быстрая, пришел в пакетикетут я приобрела 3 м за 62ри в магазине докупила еще один 5м за 50 р в итоге гирлянды на двух окнах в разных комнатах от одной розетки",5,"Нормальный удлинитель, всё работает,доставка быстрая, пришёл в пакетике.Тут я приобрела 3 м за 62р.
И в магазине докупила ещё один 5м за 50 р. В итоге гирлянды на двух окнах в разных комнатах от одной розетки."
